model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc
641,0.482743461,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue",1055.249803,1135.988787,-80.73898411,1133.988787,1043.249803,90.73898411,0.080017532,0.668895588,0.698614905,0.70435,0.775827699
642,0.482919163,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue",1055.257793,1135.988787,-80.73099436,1133.988787,1043.257793,90.73099436,0.080010486,0.667965819,0.698525236,0.70315,0.758176605
643,0.472427438,"cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue",1055.527757,1135.988787,-80.46103073,1133.988787,1047.527757,86.46103073,0.076245049,0.671247653,0.680364178,0.679125,0.847039559
644,0.472632625,"mat_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1055.560758,1135.988787,-80.42802947,1122.878679,1041.560758,81.31792142,0.072419152,0.666178914,0.682741844,0.706279971,0.865684664
645,0.471880552,"cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1055.638027,1135.988787,-80.35076069,1133.988787,1043.638027,90.35076069,0.07967518,0.67175031,0.684345502,0.67565,0.85570741
646,0.475195434,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue",1055.72923,1135.988787,-80.25955698,1133.988787,1041.72923,92.25955698,0.081358438,0.664457984,0.699589314,0.7035,0.786030726
647,0.475492949,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1055.745487,1135.988787,-80.24330041,1133.988787,1041.745487,92.24330041,0.081344103,0.665141744,0.699649093,0.70375,0.799721873
648,0.496042382,"dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue",1055.746136,1135.988787,-80.24265169,1133.988787,1047.746136,86.24265169,0.076052473,0.681366221,0.691034846,0.685825,0.856983395
649,0.479661592,"dis_comunidades_lingue,pen_lingue15,predios_lingue1",1055.880885,1135.988787,-80.10790271,1122.878679,1047.880885,74.99779465,0.066790648,0.674659718,0.678839905,0.714008775,0.872751822
650,0.481039466,"dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1055.888611,1135.988787,-80.10017646,1122.878679,1043.888611,78.99006841,0.07034604,0.674640469,0.683930716,0.71671258,0.883153348
